               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.043542,            0.037348,            0.013697,             0.78606,             0.65886,             0.67808,               0.295,            0.030929,             0.01454,            0.023064,            0.006436,            0.006436,            0.006436
                  38,            0.044079,            0.039591,            0.013629,             0.62962,             0.64535,             0.61146,             0.25073,            0.032876,            0.014833,            0.029413,            0.006337,            0.006337,            0.006337
                  39,            0.043024,            0.037353,            0.013323,             0.81481,             0.65682,             0.70384,             0.28783,            0.031787,            0.014544,            0.019039,            0.006238,            0.006238,            0.006238
                  40,             0.04233,            0.036612,            0.013366,             0.77894,             0.65059,             0.69841,             0.28884,             0.03281,            0.014635,            0.018108,            0.006139,            0.006139,            0.006139
                  41,            0.043116,            0.037089,            0.012802,             0.76749,             0.67537,             0.67293,             0.27881,            0.032033,            0.014629,            0.025026,             0.00604,             0.00604,             0.00604
                  42,            0.041606,            0.037204,            0.012768,             0.74103,             0.67637,             0.68474,             0.29898,            0.032306,            0.014805,            0.023535,            0.005941,            0.005941,            0.005941
                  43,            0.042445,            0.037308,            0.011641,             0.82323,             0.67196,             0.70589,             0.32677,            0.030174,            0.014551,            0.021523,            0.005842,            0.005842,            0.005842
                  44,            0.041526,            0.037229,            0.011816,             0.84325,             0.68277,             0.72891,              0.3459,            0.030514,            0.014387,            0.015963,            0.005743,            0.005743,            0.005743
                  45,            0.042426,            0.033971,            0.011836,             0.81561,             0.64399,             0.69518,             0.33262,            0.030547,            0.014187,            0.019741,            0.005644,            0.005644,            0.005644
                  46,            0.041977,            0.036732,             0.01194,              0.7914,             0.69727,              0.7159,             0.30901,            0.032881,            0.014153,            0.017656,            0.005545,            0.005545,            0.005545
                  47,            0.040834,            0.035084,            0.010728,             0.78501,             0.67739,             0.69711,             0.32378,            0.030704,            0.014329,            0.022099,            0.005446,            0.005446,            0.005446
                  48,            0.040846,            0.035694,            0.010482,             0.85612,             0.69426,             0.74103,             0.35771,            0.030032,            0.014327,            0.017902,            0.005347,            0.005347,            0.005347
                  49,            0.040808,            0.036927,            0.010876,             0.81043,             0.70398,             0.71865,              0.3313,            0.030878,            0.014602,            0.021317,            0.005248,            0.005248,            0.005248
                  50,             0.04137,            0.037226,             0.01071,             0.81899,             0.65509,             0.70591,             0.33088,            0.029004,            0.014097,             0.02919,            0.005149,            0.005149,            0.005149
                  51,            0.040506,            0.037505,            0.010673,              0.8464,             0.69213,              0.7368,             0.35424,            0.029442,            0.013979,            0.022945,             0.00505,             0.00505,             0.00505
                  52,            0.039316,            0.034202,           0.0091432,             0.84728,              0.6885,             0.72018,             0.34694,             0.02932,            0.014082,            0.023441,            0.004951,            0.004951,            0.004951
                  53,            0.040283,            0.034607,           0.0088814,             0.84141,             0.70332,              0.7238,             0.33724,             0.03058,            0.014323,            0.024298,            0.004852,            0.004852,            0.004852
                  54,            0.039841,             0.03568,              0.0089,             0.82683,             0.71327,             0.72357,             0.32655,            0.030281,            0.014523,            0.020935,            0.004753,            0.004753,            0.004753
